subject|details|update_dt|province_location
อุกอาจ 8 ชายฉกรรจ์ถือปืน บุกปล้นบ่อนพนันย่านสมุทรปราการ ยิงดับ 1เจ็บ 1|"ระทึก 8 ชายฉกรรจ์ควงปืนบุกปล้นบ่อนพนัน ""อาจ๋อง"" ยิงดับ 1 เจ็บ 1 ย่านเมืองสมุทรปราการ ""ผกก."" ร้อนใจ ยันไม่มีเหตุ และไม่ได้รับแจ้งผู้เสียชีวิต ยันพื้นที่กวดขันตลอด ตามนโยบาย ผบ.ตร.

จากกรณีกระแสข่าวที่เพจบิ๊กเกรียนออกมาเปิดเผยข้อมูลว่า เมื่อคืนวันที่ 10 พ.ย. 65 มีชายฉกรรจ์จำนวน 8 คน ควงปืนบุกปล้นบ่อนการพนัน ชื่อบ่อนอาจ๋อง ตั้งอยู่ ถนนศรีนครินทร์ ในพื้นที่ อ.เมือง จ.สมุทรปราการ พร้อมกับได้ลงรายละเอียดว่า จากเหตุดังกล่าวมีผู้บาดเจ็บ 1 ราย และเสียชีวิต 1 ราย จนกระแสดังกล่าวถูกวิพากษ์วิจารณ์กันเป็นวงกว้าง

ล่าสุดเมื่อเวลา 12.00 น. วันที่ 10 พ.ย. 65 พ.ต.อ.เติมรัศมิ์ จินดาวัฒน์ ผกก.สภ.เมืองสมุทรปราการ ออกมาให้สัมภาษณ์กับสื่อมวลชนว่า ตั้งแต่ช่วงหัวค่ำของวันที่ 9 พ.ย. จนถึงขณะนี้ จากการตรวจสอบข้อมูล ทาง สภ.เมืองสมุทรปราการ ยังไม่ได้รับแจ้งว่ามีเหตุปล้นบ่อนและมีผู้เสียชีวิต จากกระแสข่าวที่มีการนำเสนอในสื่อโซเชียลแต่อย่างใด ขณะเดียวกันได้มีการตรวจสอบไปยังสถานพยาบาลในพื้นที่แล้ว ก็ยังไม่ได้รับแจ้งว่ามีผู้บาดเจ็บ หรือเสียชีวิตจากเหตุอาวุธปืน ถูกนำส่งมารักษายังสถานพยาบาลในเขตที่รับผิดชอบแต่อย่างใด"|2022-11-10|สมุทรปราการ
"""ไอ้คลั่ง"" จนมุม ยิงกลางทุ่งนา ตาย 1 เจ็บ 2 ตร.ยันควบคุมสถานการณ์ได้แล้ว"|"ผบ.ตร.ส่งชุดปฏิบัติการพิเศษ ภ.จว.ลำปาง บุกจับ ""ชายคลั่ง"" มือยิงกล่องข้าวน้อย กลางทุ่งนาดับ 1 เจ็บ 1 ตำรวจเข้าระงับเหตุถูกยิงอีก 1 ล่าสุดจับกุมตัว-คุมสถานการณ์ได้แล้ว

กรณีชายคลั่งยิงคนกลางทุ่งนา ตาย 1 เจ็บ 1 ตำรวจเข้าระงับเหตุถูกยิงเจ็บอีก 1 โดยเหตุอุกอาจดังกล่าว เกิดขึ้น วานนี้ (9 พ.ย. 65) เวลา 15.30 น. นายพีระ อมรศิริวัฒนา หรืออาห่า อายุ 55 ปี ซึ่งมีอาการทางจิต เกิดคลั่งใช้อาวุธปืนพกปืนสั้น ยิงคนกลางทุ่งนา ขณะกำลังเกี่ยวข้าวในพื้นที่ หมู่ที่ 9 ต.จางเหนือ อ.แม่เมาะ จ.ลำปาง

เกี่ยวกับความคืบหน้า ล่าสุด วันนี้ (10 พ.ย. 65) เวลา 10.00 น. พล.ต.อ.ดำรงศักดิ์ กิตติประภัสร์ ผบ.ตร.เปิดเผยว่า หลังจากที่สั่งการด่วนให้ พล.ต.ท.ปิยะ ต๊ะวิชัย ผบช.ภ.5 และ พล.ต.ต.มงคล สัมภะวะผล ผบก.ภ.จว.ลำปาง นำชุดปฏิบัติการพิเศษ ร่วมกับกำลังตำรวจ สภ.แม่เมาะ ชุดสืบสวนภูธรจังหวัดลำปาง กำลัง อส. และนปพ. ประมาณ 100 นาย เข้าไล่ล่าและกดดันมือปืนผู้ก่อเหตุ พร้อมทั้งนำโดรนขึ้นบินค้นหา"|2022-11-10|ลำปาง
ลุงวัย 63 แทงอกบีบคอแฟนสาว 39 ปีดับ ก่อนจะลาโลกตายตามกันที่มหาสารคาม|"ตร.กุดรังรับแจ้งพบศพสาววัย 39 ถูกมีดแทงอก มีรอยบีบคอจับกดน้ำตายบนคันนา ในกระท่อมใกล้กันพบศพชายวัย 63 ถูกยิงที่ราวนมซ้าย ญาติเผยทั้งคู่นัดกันเจรจาค่าสินสอด แล้วมารับกันไปคุยก่อนจะมาพบเป็นศพ

เมื่อเวลา 13:00 น.วันที่ 10 ก.ย.65 ร.ต.อ.พงพันธ์ เขียวใส รอง สว.สอบสวน สภ.กุดรัง รับแจ้งเหตุมีคนฆ่ากันเสียชีวิต ที่กระท่อมกลางทุ่งนา บ้านปอแดง ต.เลิงแฝก อ.กุดรัง จ.มหาสารคาม จึงออกตรวจสอบพร้อมกู้ภัยประจิมบรบือ แพทย์เวร รพ.กุดรัง ตำรวจพิสูจน์หลักฐาน ที่เกิดเหตุเป็นกระท่อมกลางทุ่งนา พบศพนายทองไสย์ สุปัด อายุ 63 ปี ชาวบ้านไพรวัลย์ ต.หนองคูขาด อ.บรบือ เสียชีวิตนอนหงายบนแคร่ไม้ไผ่ สวมเสื้อสีดำ กางเกงลายทหาร ไม่สวมรองเท้า มีรอยกระสุนปืนที่ใต้ราวนมด้านซ้าย โดยมีปืนแก๊บวางอยู่บนแคร่และมีดปลายแหลม ด้ามหัก และกุญแจรถ

"|2022-11-10|มหาสารคาม
[ข่มขืนเด็ก] ช็อก จับครูหนุ่ม รร.ดัง เปิดกลุ่มลับ ขายคลิปลวงละเมิดเด็ก-ลวงอนาจารเด็ก รายได้เป็นล้าน|"ผู้สื่อข่าวรายงานว่า วันนี้ (8 พ.ย.) พล.ต.ท.วรวัฒน์ วัฒน์นครบัญชา ผบช.สอท. สั่งการ พล.ต.ต.กานตพงศ์ ชัยรุ่งเรือง ผบก.ตอท. พ.ต.อ.รุ่งเลิศ คันธจันทร์ ผกก.กลุ่มงานต่อต้านการล่วงละเมิดทางเพศต่อเด็กทางอินเทอร์เน็ต บก.ตอท. นำกำลังจับกุมตัว นายเจ (นามสมมุติ) ข้าราชการครู รร.ดังแห่งหนึ่งย่านสมุทรปราการ พร้อมด้วยของกลาง โทรศัพท์มือถือ , คอมพิวเตอร์ , ซิมโทรศัพท์ และบัญชีธนาคาร

สืบเนื่องจากด้วยกลุ่มงานต่อต้านการล่วงละเมิดทางเพศต่อเด็กทางอินเตอร์เน็ต บก.ตอท. ได้รับแจ้งจากโครงการฮัก ประเทศไทย (Hug Project Thailand) ว่ามีผู้เสียหาย อายุ 17 ปีเศษ ถูกคนร้ายใช้โปรแกรม VK ชื่อ WAKANDA  และ T’Challa เผยแพร่ภาพลามกอนาจาร ของผู้เสียหายสู่สาธารณะ

และเมื่อมีผู้เสียหายติดต่อมาขอลบคลิปจะให้ผู้เสียหายโอนเงิน หรือให้วิดีโอคอลเสียวกับตน และให้ยืนยันตัวตนด้วยการถ่ายรูปคู่กับบัตรประชาชน หลังจากนั้นจะทำการโพสต์ประจาน

เจ้าหน้าที่ตำรวจสืบทราบว่าผู้ที่ทำหน้าที่แอดมิน เพจดังกล่าวคือ นายเจ (ขอสงวนชื่อและนามสกุล) ข้าราชการครู สอนวิชาสังคม รร.ดังแห่งหนึ่งย่านสมุทรปราการ

จากการสอบสวนผู้ต้องหาให้การรับสารภาพว่า ตนเองเปิดเพจใน VK รวม 7 เพจ มาแล้ว 1 ปี รายได้รวมประมาณ 1,000,000 บาท มีผู้ติดตามจำนวนรวมกว่า 200,000 คน มีการโพสต์สื่อลามกอนาจารทั้งเด็กและผู้ใหญ่จำนวนมากรวมแล้ว 1,823 โพสต์

โดยต้องเสียค่าสมาชิกในราคา 1,500 บาท รับชำระเงินค่าสมาชิกผ่านบัญชีม้า และ cryptocurrency เมื่อได้รับชำระเงินแล้วจะทำการดึงเข้ากลุ่มลับซึ่งมีคลิปลามกเด็กจำนวนมาก

และพบว่ามีการติดตั้งกล้องแอบถ่ายภายในห้องนอน พบคลิปที่ผู้ต้องหามีเพศสัมพันธ์กับเด็กนักเรียนในชุดเนตรนารี โดยอยู่ระหว่างติดตามผู้เสียหายเข้าแจ้งความเพิ่มเติม

เบื้องต้น เจ้าหน้าที่ตำรวจแจ้งข้อหา นำเข้าสู่ระบบคอมพิวเตอร์ และเผยแพร่หรือส่งต่อซึ่งข้อมูลคอมพิวเตอร์โดยรู้อยู่แล้วว่าเป็นข้อมูลคอมพิวเตอร์ที่มีลักษณะอันลามก ครอบครองสื่อลามกอนาจารเด็กเพื่อแสวงหาประโยชน์ในทางเพศสำหรับตนเองหรือผู้อื่น เพื่อความประสงค์แห่งการค้า หรือโดยการค้า เพื่อการแจกจ่ายหรือเพื่อการแสดงอวดแก่ประชาชน ทำ ผลิต มีไว้ นำเข้าหรือยังให้นำเข้าในราชอาณาจักร ส่งออกหรือยังให้ส่งออกไปนอกราชอาณาจักร พาไปหรือยังให้พาไปหรือทำให้แพร่หลายโดยประการใดๆ ซึ่งสื่อลามกอนาจารเด็ก จึงได้นำตัวผู้ต้องหาส่งพนักงานสอบสวน สน.บางนา ดำเนินคดีตามกฎหมายต่อไป"|2022-11-09|Unknow
[ข่มขืนเด็ก] นักธุรกิจหื่น ข่มขืนลูกสาวแม่บ้านวัย 12 ขวบ โป๊ะแตกหลังแม่เดินเข้าไปเจอจังหวะนรก|"สืบเนื่องจาก นางบิว อายุ 44 ปี ได้พาน้องบี ลูกสาววัย 12 ปี เดินทางมาจากจ.ชลบุรี เข้าร้องทุกข์ต่อ นางปวีณา หงสกุล ประธานมูลนิธิปวีณาฯ โดยแจ้งว่า ตนเป็นแม่บ้านและเป็นพี่เลี้ยงเด็กอยู่บ้านของสองสามีภรรยานักธุรกิจในจ.ชลบุรี น้องบี ลูกสาวตนถูกนายหนึ่ง (นามสมมุติ) อายุ 43 ปี สามีเจ้าของบ้าน ข่มขืนกระทำชำเราหลายครั้ง

โดยน้องบี บอกว่า ทุกครั้งนายหนึ่งจะเรียกให้ไปนวด ก่อนจะล่วงละเมิดทางเพศในห้องน้ำและห้องดูหนัง จากนั้นก็ให้เงินครั้งละ 200-300 บาท และข่มขู่ห้ามบอกใคร ล่าสุดวันที่ 30 ต.ค. ขณะที่อยู่ในบ้าน ตนเห็นลูกสาวหายไปจึงเดินตามหา โดยไปดูที่ห้องดูหนังชั้น 3 เมื่อเปิดประตูก็พบว่า น้องบีเข้าไปอยู่ในห้องน้ำกำลังรีบใส่เสื้อผ้า ส่วนนายหนึ่งหลบอยู่หลังโซฟา ตนจึงเอะใจว่าต้องเกิดเรื่องไม่ดีขึ้นแน่

จากนั้นลูกสาวจึงบอกความจริง เพราะทนไม่ไหวและหวาดกลัวว่าจะถูกกระทำอีก ตนจึงต้องการเรียกร้องความยุติธรรมให้ลูก แต่เนื่องจากนายหนึ่งรู้จักคนใหญ่คนโตในพื้นที่จำนวนมาก เกรงว่าจะไม่ได้รับความยุติธรรม จึงตัดสินใจขอความช่วยเหลือจากมูลนิธิปวีณาฯ

หลังรับเรื่อง นางปวีณา ได้ประสาน พ.ต.อ.นาวิน สินธุรัตน์ ผกก.สภ.บางละมุง จ.ชลบุรี ให้แม่พาลูกสาวเข้าแจ้งความวันที่ 1 พ.ย. ทางเจ้าหน้าที่ตำรวจได้ส่งเด็กไปตรวจร่างกายที่โรงพยาบาล และมีการสอบสหวิชาชีพเด็กในวันที่ 2 พ.ย. ก่อนที่พนักงานสอบสวนจะรวบรวมพยานหลักฐานออกหมายจับ นายหนึ่ง นักธุรกิจที่ก่อเหตุ ในข้อหา ข่มขืนกระทำชำเราเด็กหญิงอายุต่ำกว่า 13 ปี และพรากเด็กอายุต่ำกว่า 15 ปี ไปเพื่อการอนาจาร

ล่าสุดวันนี้ 5 พ.ย.65 ตำรวจสภ.บางละมุง ได้ควบคุมตัวนายหนึ่ง ผู้ต้องหา ไปฝากขังศาล พร้อมคัดค้านการประกันตัว ทั้งนี้มูลนิธิปวีณาฯ จะประสานกระทรวงการพัฒนาสังคมฯ ให้การช่วยเหลือและฟื้นฟูสภาพจิตใจน้องบีต่อไป"|2022-11-07|ชลบุรี
เลือดสาดกลางกรุง วัยรุ่นมัธยมชักปืนยิง-แทงกัน ใต้บีทีเอสตากสิน บาดเจ็บ 3 ราย|"เมื่อเวลา 20.30 น. (31 ต.ค.65) พ.ต.ท.อินศร อุดติ๊บ สว.(สอบสวน) สน.ยานนาวา รับแจ้งเหตุทะเลาะวิวาท มีผู้ได้รับบาดเจ็บภายในสวนสาธารณะ ใต้สถานีรถไฟฟ้าตากสิน ถนนสาทร แขวงบางโพงพาง เขตยานนาวา กรุงเทพฯ จึงไปตรวจสอบพร้อมเจ้าหน้าที่สายตรวจ และฝ่ายสืบสวน และอาสาสมัครมูลนิธิร่วมกตัญญู

ที่เกิดเหตุพบกองเลือดจำนวนมาก ยาวเป็นทางไปจนถึงสะพานลอยข้ามคลองสาทร ระยะทางประมาณ 100 เมตร ทราบว่ามีผู้ได้รับบาดเจ็บ 3 ราย ถูกนำตัวส่งโรงพยาบาลเลิดสิน คือ น.ส.บี (นามสมมติ) อายุ 17 ปี นักเรียนชั้น ม.5 ได้รับบาดเจ็บถูกกระสุนปืนที่ข้อเท้าขวา บาดเจ็บเล็กน้อย นายเอ (นามสมมติ) อายุ 19 ปี ถูกแทงด้วยกรรไกรเข้าที่หน้าท้องถูกเส้นเลือดใหญ่ อาการสาหัส ส่วนนายนก (นามสมติ) อายุ 16 ปี ถูกกรรไกรแทงที่หลังมือซ้าย บาดเจ็บเล็กน้อย และในที่เกิดเหตุพบปลอกกระสุนปืนขนาด 9 มม.ตกอยู่1ปลอก จึงเก็บไว้เป็นหลักฐาน

ในที่เกิดเหตุฝ่ายสืบสวนสามารถจับกุมตัวผู้ก่อเหตุใช้อาวุธกรรไกรไว้ได้ทราบชื่อนายวุฒิ อายุ 20 ปี พร้อมกรรไกรเปื้อนเลือด 1 เล่ม"|2022-11-01|กทม
